"","person","family","community","county","province","age","gender","urban","vet","edu_yrs","lang","read_books","hours_tv","avg_sleep","smoked","coverage","govt_rating","welfare_housing","self-health","wechat","2020_employment","reason_unemployed","children","married","income_satis","income_rel","status_rel"
"17912",577696651,577696,-9,1247,35,32,1,1,-8,12,1,0,2,6,1,2,2,-8,3,1,10544,-8,2,-8,3,3,2
"17913",530275102,530275,-9,1405,14,38,0,1,-8,6,1,0,1,4,0,5,5,-8,5,1,-8,-8,1,2,5,1,1
"17914",530283103,577725,-9,17,53,24,1,1,-8,15,1,1,24,7,0,2,2,-8,5,1,-8,-8,0,1,2,3,3
"17915",530423103,530423,-9,2566,53,28,1,1,-8,12,1,1,3.5,8,0,5,5,-8,2,1,-8,-8,0,1,5,3,3
"17916",530434103,530434,-9,2577,53,20,1,1,-8,13,1,1,3,6.5,1,3,2,-8,3,1,-8,-8,0,1,-8,79,3
"17917",578211651,578211,463351,135,62,32,0,1,-8,16,1,0,6,8,0,2,2,-8,3,1,-8,-8,1,2,4,3,3
"17918",620803103,578211,463351,135,62,33,1,1,1,16,1,0,2,9,1,2,2,-8,3,1,-8,-8,1,2,5,3,2
"17919",578297651,578297,156268,145,62,31,1,1,-8,9,5,0,14,9,1,5,1,-8,2,1,-8,-8,1,2,4,4,3
"17920",620912103,578297,156268,145,62,26,0,1,-8,9,5,0,21,9,0,5,2,-8,3,1,-8,2,1,2,-8,79,3
"17921",220022103,578463,-9,175,11,30,1,1,-8,9,1,0,15,7,1,78,2,-8,1,0,-8,-8,0,1,3,3,3
"17922",220049101,578489,124400,60,22,52,0,0,-8,9,1,0,0,8,0,5,2,-8,4,1,-8,-8,0,2,2,3,4
"17923",220202103,578609,-9,46,13,28,0,1,-8,15,1,1,14,8,0,6,2,-8,3,1,-8,-8,0,1,2,2,3
"17924",621275101,621275,220600,134,62,53,0,0,-8,12,1,0,1,8,0,6,3,-8,1,1,-8,-8,0,2,4,3,5
"17925",621275102,621275,220600,134,62,54,1,0,-8,12,5,0,0,6,0,5,2,-8,3,1,-8,-8,0,2,4,4,4
"17926",621275104,621275,220600,134,62,28,0,0,-8,16,1,1,6,8,0,5,2,-8,3,0,-8,77,0,1,4,2,2
"17927",621280104,578617,225505,134,62,32,0,1,-8,16,1,1,2,8,0,5,2,-8,3,1,-8,-8,2,2,4,3,4
"17928",578840651,578840,993987,144,62,29,1,0,-8,9,1,1,2,8,1,5,2,-8,1,1,-8,-8,2,2,4,3,2
"17929",621569103,578840,993987,144,62,24,0,0,-8,9,1,0,2,8,0,5,4,-8,2,1,-8,2,2,2,2,3,3
"17930",621653101,578920,592547,92,31,54,1,1,-8,12,1,1,0,6,1,2,2,-8,4,1,-8,-8,0,2,3,2,2
"17931",610047103,610047,496815,78,61,36,1,1,-8,9,1,0,15,8,0,5,2,2018,3,1,-8,-8,3,2,4,2,2
"17932",578988651,578988,679380,2884,62,31,1,1,-8,16,1,1,10,7,0,3,3,-8,3,1,-8,-8,1,2,4,4,3
"17933",621754103,578988,679380,2884,62,32,0,1,-8,16,1,1,5,7,0,3,2,-8,3,1,-8,-8,1,2,4,3,3
"17934",510843105,579793,-9,2291,51,25,1,1,-8,16,1,1,4,8.5,0,2,3,-8,3,1,-8,-8,0,1,4,3,2
"17935",110040103,580049,461645,45,11,31,1,1,-8,9,1,0,7,6,1,78,2,-8,5,1,40101,-8,1,2,3,3,2
"17936",110074102,580076,118200,45,11,72,0,1,-8,9,1,0,3,7,0,2,3,-8,5,1,-8,4,0,5,-8,2,2
"17937",621276102,580199,-9,133,62,76,0,1,-8,6,1,0,15,8,0,5,2,-8,3,1,-8,4,1,5,-8,-1,5
"17938",621276103,580199,-9,133,62,46,1,1,1,15,1,1,4,7.5,1,5,2,-8,3,1,-8,-8,1,2,4,3,4
"17939",621276105,580199,-9,133,62,16,0,1,-8,11,1,1,5,7,0,5,2,-8,2,1,-8,-8,1,-8,-8,79,3
"17940",621276106,580199,-9,133,62,12,1,1,-8,6,1,1,0.5,10,0,-8,-8,-8,1,0,-8,-8,1,-8,-8,79,3
"17941",621276107,580199,-9,133,62,44,0,1,-8,9,1,0,7,7,0,5,2,-8,2,1,-8,-8,1,2,3,3,4
"17942",120026103,580306,414511,2022,44,25,1,1,-8,16,1,0,12,7,0,2,3,-8,3,1,-8,-8,0,1,2,3,3
"17943",140070103,580483,816997,8297,14,31,0,0,-8,12,1,0,12,8,0,5,4,-8,3,1,99999,-8,1,2,3,2,2
"17944",580483401,580483,816997,8297,14,11,1,0,-8,3,1,1,2,8,0,-8,-8,-8,1,1,-8,-8,1,-8,-8,79,4
"17945",580483431,580483,816997,8297,14,32,1,0,-8,9,1,1,3,8,1,2,5,-8,2,1,62501,-8,1,-8,2,4,3
"17946",621456103,580513,436949,2884,62,27,0,1,-8,12,1,0,10.5,8,0,6,5,-8,5,1,-8,-8,0,1,1,3,3
"17947",621456104,580513,436949,2884,62,26,0,1,-8,16,1,0,7,8,0,6,3,-8,3,1,-8,-8,0,1,4,3,3
"17948",130016103,580522,804042,235,13,37,1,1,-8,6,1,0,21,7,1,2,1,-8,1,1,-8,-8,3,2,2,3,5
"17949",130016104,580522,804042,235,13,34,0,1,-8,6,1,0,2,8,0,5,2,-8,3,1,60402,-8,3,2,4,3,2
"17950",130016105,580522,804042,235,13,13,0,1,-8,6,1,1,7,10,0,-8,-8,-8,1,1,-8,-8,3,-8,-8,79,3
"17951",130016401,580522,804042,235,13,11,0,1,-8,4,1,0,2,8,0,-8,-8,-8,1,1,-8,-8,3,-8,-8,79,5
"17952",130311106,580747,-9,49,13,35,0,1,-8,16,5,1,2,7,0,2,2,-8,3,1,-8,-8,6,2,4,3,4
"17953",501046601,580747,-9,49,13,36,1,-9,-8,16,1,0,14,6,1,2,2,-8,2,1,20903,-8,6,-8,4,2,3
"17954",130541103,580912,119400,48,13,32,1,1,-8,15,1,0,5,7,0,2,3,-8,3,1,-8,-8,2,2,4,3,3
"17955",130541501,580912,119400,48,13,32,0,1,-8,12,1,0,14,7,0,5,4,-8,3,1,-8,2,2,2,2,3,3
"17956",626269651,626269,-9,41,51,32,0,1,-8,16,5,1,30,6.5,0,5,2,-8,5,1,-8,-8,1,2,4,3,2
"17957",130551103,580920,236176,1210,34,30,1,1,-8,12,1,0,3,8,1,2,1,-8,3,1,62501,-8,1,1,4,3,1
"17958",130769102,581089,120100,50,13,26,1,1,-8,19,5,1,10,7,1,2,2,-8,3,1,-8,-8,0,3,4,1,1
"17959",620982108,581265,983386,2772,61,29,1,1,-8,16,1,1,20,7,0,6,2,-8,3,1,-8,6,2,1,4,4,3
"17960",140081101,581426,814293,8297,14,30,0,0,-8,9,1,0,7,10,0,5,4,-8,3,1,-8,-8,2,2,2,3,3
"17961",140081103,581426,814293,8297,14,60,1,0,-8,-9,1,1,20,6,0,6,3,-8,3,0,80000,3,2,2,-8,5,1
"17962",140081104,581426,814293,8297,14,54,0,0,-8,0,1,0,0,7,0,6,3,-8,5,1,-8,2,2,2,4,1,1
"17963",140232103,581557,821909,74,14,29,0,0,-8,19,1,0,3,7,0,5,2,-8,2,1,-8,6,0,1,2,4,3
"17964",140391104,581681,605394,75,14,32,1,1,-8,19,1,0,5,8,0,2,3,-8,3,1,-8,-8,1,2,4,3,3
"17965",140391601,581681,605394,75,14,32,0,1,-8,16,1,1,3,6,0,2,2,-8,3,1,-8,-8,1,2,4,3,3
"17966",430322107,955383,932695,1911,43,33,0,1,-8,9,1,0,20,8,0,2,2,-8,3,1,-8,-8,4,2,4,4,3
"17967",130815102,101023,128689,133,62,39,1,0,-8,12,1,1,7,7,1,5,2,-8,3,1,-8,-8,1,2,4,3,3
"17968",330049103,582032,492620,36,33,33,1,1,-8,16,1,0,7,6.5,0,2,2,-8,3,1,-8,-8,0,4,4,2,2
"17969",340348104,582518,100700,2,34,28,0,0,-8,16,1,1,7,8,0,2,2,-8,2,1,-8,-8,0,1,4,3,2
"17970",130095104,582613,-9,223,13,32,0,0,-8,16,1,1,6,7,0,3,4,-8,3,1,60402,-8,3,4,4,3,4
"17971",350093104,582625,-9,1079,33,33,1,1,-8,9,1,0,2.1,8,1,5,3,-8,3,1,-8,-8,6,2,4,2,1
